"GrantNumber","CallDecisionYear","GrantDurationYears","FundingInstrumentLevel1","AmountGrantedAllSets","AmountPerYear","InstituteCountry","MainDiscipline_Level2","NrTotalUncitableOutputs","NrTotalUncitableOutputsPerYear","NrCitablePublications","NrCitablePublicationsPerYear","NrCitationsTotal","NrCitationsPerPublication"
144798,2012,1.49315068493151,"Careers",90625,60693.8073394495,"Canada","Experimental Medicine",3,2.0091743119266,1,0.6697247706422,23,23
140997,2012,3.58356164383562,"Projects",224642,62686.7966360856,"Switzerland","Preventive Medicine",8,2.23241590214067,3,0.837155963302751,94,31.3333333333333
140956,2012,5.75342465753425,"Projects",315000,54750,"Switzerland","Clinical Medicine",4,0.695238095238095,2,0.347619047619047,24,12
144187,2012,3.4958904109589,"Projects",413768,118358.401253919,"Switzerland","Clinical Medicine",15,4.29075235109718,14,4.00470219435737,277,19.7857142857143
145011,2012,0.997260273972603,"Infrastructure",580000,581593.406593407,"Switzerland","Basic Medical Sciences",0,0,4,4.01098901098901,234,58.5
144007,2012,2.58356164383562,"Projects",276500,107022.799575822,"Switzerland","Clinical Medicine",5,1.93531283138918,2,0.774125132555672,38,19
145045,2012,0.997260273972603,"Careers",55000,55151.0989010989,"Switzerland","Basic Medical Sciences",0,0,3,3.00824175824176,403,134.333333333333
143989,2012,4,"Projects",331800,82950,"Switzerland","Clinical Medicine",9,2.25,2,0.5,149,74.5
143373,2012,2.9972602739726,"Projects",585074,195202.934186472,"Switzerland","Basic Medical Sciences",10,3.3363802559415,6,2.0018281535649,271,45.1666666666667
142645,2012,2.9972602739726,"Careers",398388,132917.385740402,"Switzerland","Experimental Medicine",7,2.33546617915905,2,0.6672760511883,223,111.5
144200,2012,4,"Projects",410659,102664.75,"Switzerland","Social Medicine",62,15.5,5,1.25,76,15.2
144219,2012,2.9972602739726,"Projects",471500,157310.329067642,"Switzerland","Experimental Medicine",52,17.3491773308958,3,1.00091407678245,246,82
141070,2012,3.24657534246575,"Projects",402000,123822.784810127,"Switzerland","Basic Medical Sciences",31,9.54852320675107,14,4.31223628691984,4612,329.428571428571
139283,2012,5.33698630136986,"Programmes",442091,82835.3259753593,"Switzerland","Social Medicine",12,2.24845995893224,15,2.8105749486653,273,18.2
141201,2012,3,"Projects",514274,171424.666666667,"Switzerland","Basic Medical Sciences",23,7.66666666666667,4,1.33333333333333,152,38
143644,2012,0.997260273972603,"Careers",59050,59212.2252747253,"United States of America","Basic Medical Sciences",2,2.00549450549451,1,1.00274725274725,30,30
141178,2012,3.24931506849315,"Projects",711013,218819.346543002,"Switzerland","Experimental Medicine",12,3.69308600337268,8,2.46205733558179,505,63.125
143924,2012,2.9972602739726,"Projects",390000,130118.829981718,"Switzerland","Experimental Medicine",0,0,12,4.0036563071298,546,45.5
143769,2012,3.66301369863014,"Projects",346000,94457.7412116679,"Switzerland","Clinical Medicine",9,2.45699326851159,10,2.72999252056843,234,23.4
