"GrantNumber";"CallDecisionYear";"EffectiveGrantStartDate";"GrantDurationDays";"GrantDurationYears";"EffectiveGrantEndDate";"State";"FundingInstrumentLevel1";"AmountGrantedAllSets";"AmountPerYear";"AmountPerEmployee";"AmountPerEmployeeAndYear";"ResearchInstitution";"InstituteCountry";"MainDiscipline_Level1";"MainDiscipline_Level2";"MainDiscipline";"NrEmployees";"NrEmployeesPerYear";"NrCollaborations";"NrCollaborationsPerYear";"NrAcademicEvents";"NrAcademicEventsPerYear";"DateFirstAcademicEvent";"NrAwards";"NrAwardsPerYear";"YearFirstAward";"NrDatasets";"NrDatasetsPerYear";"DateFirstDataset";"NrKnowledgeTransfer";"NrKnowledgeTransferPerYear";"DateFirstKnowledgeTransfer";"NrCommunication";"NrCommunicationPerYear";"YearFirstCommunication";"NrTotalPublications";"NrTotalPublicationsPerYear";"YearFirstPublication";"NrUncitablePublications";"NrUncitablePublicationsPerYear";"NrUses";"NrUsesPerYear";"YearFirstUse";"NrTotalOutputs";"NrTotalOutputsPerYear";"NrTotalUncitableOutputs";"NrTotalUncitableOutputsPerYear";"NrCitablePublications";"NrCitablePublicationsPerYear";"NrCitationsTotal";"NrCitationsPerPublication";"YearFirstCitablePublication"
145344;2012;2013-01-01;364;0.997260273972603;2013-12-31;"Completed";"Careers";60345;60510.782967033;0;0;"Institution abroad - Canada";"Canada";"Biology and Medicine";"Basic Biological Research";"Molecular Biology";0;0;2;2.00549450549451;1;1.00274725274725;2013-10-05;0;0;NA;0;0;NA;0;0;NA;0;0;NA;3;3.00824175824176;2014;0;0;0;0;NA;4;4.01098901098901;1;1.00274725274725;3;3.00824175824176;182;60.6666666666667;2014
145791;2012;2013-01-01;364;0.997260273972603;2013-12-31;"Completed";"Careers";46300;46427.1978021978;0;0;"Institution abroad - Great Britain and Northern Ireland";"Great Britain and Northern Ireland";"Biology and Medicine";"Basic Biological Research";"Embryology, Developmental Biology";0;0;2;2.00549450549451;1;1.00274725274725;2013-06-12;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;1;1.00274725274725;1;1.00274725274725;0;0;NA;NA;NA
146210;2012;2013-03-01;364;0.997260273972603;2014-02-28;"Completed";"Careers";46500;46627.7472527472;0;0;"Institution abroad - United States of America";"United States of America";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";0;0;0;0;2;2.00549450549451;2014-02-06;0;0;NA;0;0;NA;0;0;NA;0;0;NA;1;1.00274725274725;2013;0;0;0;0;NA;3;3.00824175824176;3;3.00824175824176;0;0;NA;NA;NA
143980;2012;2013-01-01;1460;4;2016-12-31;"Completed";"Projects";550000;137500;110000;27500;"University of Geneva - GE";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";5;1.25;2;0.5;3;0.75;2013-04-20;3;0.75;2013;0;0;NA;0;0;NA;0;0;NA;13;3.25;2013;1;0.25;2;0.5;2013;21;5.25;9;2.25;12;3;NA;NA;2013
145877;2012;2013-01-01;364;0.997260273972603;2013-12-31;"Completed";"Careers";26800;26873.6263736264;0;0;"Institution abroad - Australia";"Australia";"Biology and Medicine";"Basic Biological Research";"Embryology, Developmental Biology";0;0;2;2.00549450549451;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;NA;NA;NA
143584;2012;2012-10-01;1460;4;2016-09-30;"Completed";"Projects";377730;94432.5;377730;94432.5;"University of Berne - BE";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Experimental Cancer Research";1;0.25;2;0.5;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;42;10.5;NA;0;0;0;0;NA;42;10.5;0;0;42;10.5;NA;NA;NA
144075;2012;2013-04-01;729;1.9972602739726;2015-03-31;"Completed";"Projects";245230;122783.196159122;122615;61391.598079561;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Experimental Medicine";"Pathophysiology";2;1.00137174211248;3;1.50205761316872;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;6;3.00411522633745;2013;0;0;0;0;NA;6;3.00411522633745;0;0;6;3.00411522633745;NA;NA;2013
145476;2012;2013-02-01;729;1.9972602739726;2015-01-31;"Completed";"Careers";244448;122391.659807956;244448;122391.659807956;"University of Zurich - ZH";"Switzerland";"Biology and Medicine";"Basic Medical Sciences";"Neurophysiology and Brain Research";1;0.500685871056241;1;0.500685871056241;4;2.00274348422497;2013-09-02;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;0;0;NA;4;2.00274348422497;4;2.00274348422497;0;0;NA;NA;NA
142585;2012;2012-09-01;1094;2.9972602739726;2015-08-31;"Completed";"Careers";593352;197964.78976234;593352;197964.78976234;"University of Berne - BE";"Switzerland";"Biology and Medicine";"Clinical Medicine";"Biomedical Engineering";1;0.33363802559415;3;1.00091407678245;0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;10;3.3363802559415;2013;0;0;1;0.33363802559415;2013;11;3.67001828153565;1;0.33363802559415;10;3.3363802559415;242;24.2;2013
141246;2012;2012-08-01;1094;2.9972602739726;2015-07-31;"Completed";"Projects";510017;170161.064899452;255008.5;85080.5324497258;"University of Basel - BS";"Switzerland";"Biology and Medicine";"Preventive Medicine (Epidemiology/Early Diagnosis/Prevention)";"Methods of Epidemiology and Preventive Medicine";2;0.6672760511883;6;2.0018281535649;9;3.00274223034735;2013-07-18;2;0.6672760511883;2015;0;0;NA;1;0.33363802559415;2013-03-16;0;0;NA;7;2.33546617915905;NA;0;0;0;0;NA;19;6.33912248628885;12;4.0036563071298;7;2.33546617915905;NA;NA;NA
