GrantNumber;UseInspired_Comment;UseInspired_Inventor;UseInspired_LicenseType;UseInspired_Owner;UseInspired_PatentDecisionDate;UseInspired_PatentNumber;UseInspired_PatentOwnerDescription;UseInspired_PatentStatus;UseInspired_PriorityDate;UseInspired_ReviewerActivityType;UseInspired_Title;UseInspired_Type;UseInspired_Url;UseInspired_Year;UseInspiredId
139324;;;;;;;;;;;"Die Zukunft ist jetzt! 
Im Rahmen des Projektes ""Die Zukunft ist jetzt!"" wurde ein Leitfaden und ein Arbeitsbuch zur Zukunftsplanung von erwachsenen Menschen mit intellektueller Beeinträchtigung konzipiert. Der Leitfaden und das Arbeitsbuch wurden durch die Arbeit im Projekt Palcap ergänzt mit einer Patientenverfügung für Menschen mit einer intellektuellen Beeinträchtigung.";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;B3F8AE71-1AF9-40D2-8CFD-BF5B2908CE34
139333;;;;;;;;;;;"Developed and taught lecture on “End of life care and medical decisions” at University of Amsterdam (M.Maessen, March 2014) ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://www.vu.nl/nl/studiegids/2013-2014/bachelor/g-k/gezondheid-en-leven/index.asp?view=module&origin=50051531&id=50044028;;3CF1E578-DBDB-49AE-8595-09B510933EF5
139324;;;;;;;;;;;"Palliative Care in den Wohnheimen der Behindertenhilfe – wer bestimmt am Lebensende? 
Dies ist ein Weiterbildungsangebot für Leitende, Betreuende und Pflegende, die in den Wohnheimen der Behindertenhilfe arbeiten. ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;B9415CE8-EC9A-491B-A7C4-2300ADDE00B0
183149;;;;;;;;;;;House of Performance Cockpit (HPC) - Power BI basiertes Kennzahlen-Cockpit für den Einsatz als Lehrmaterial und zu Forschungszwecken;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://app.powerbi.com/view?r=eyJrIjoiMTBlYmVkOTMtOGM3OS00NDhjLWExZTgtNDQyODlmZTVjM2FkIiwidCI6ImE3MjYyZTU5LTFiNTYtNGY1YS1hNDEyLTZmMDcxODFmNDhlZSIsImMiOjh9;;AB9116F8-3864-46E4-80C6-76AEA27ED7A1
183081;;;;;;;;;;;Smartopinion Extension for Research with Simulated Forums;Software;https://www.smartopinion.de;2019;F09E82C7-E5DA-449F-9C8D-95428295AAC9
183120;"Mitglied der Expertengruppe ""Neuausrichtung E-Voting""";;;;;;;;;Other administration / public sector;Bundeskanzlei;Expert/reviewer activity;;2020;F548C722-68D4-4F3D-BEE6-F2A10CA2AB66
183008;;;Software;;;;;;;;"Open Source Software ""Goldfish package in R""";Licences (software and other);https://github.com/snlab-ch/goldfish/blob/main/LICENSE;2019;C1E7CA5C-78A3-4A4B-9AA6-CE934F2B6DC5
183251;"Contribution to reviewing grant application in the subject area. ";;;;;;;;;Other administration / public sector;DFG, Böhringer Ingelheim Stiftung;Expert/reviewer activity;;2019;9A549C9B-72E4-41C3-9446-C962F6CE8DF6
183171;;;;;;;;;;;"Es wurde ein virtueller Supermarkt erstellt, der für verschiedenste Fragestellungen in zukünftigen Projekten genutzt werden kann. ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;2F075DE5-850A-4434-B3A6-E9129B31D5E1
183246;Gutachterin / Referentin Masterarbeit ZHAW von Marius Mahler.;;;;;;;;;Other administration / public sector;ZHAW Psychologisches Institut;Expert/reviewer activity;;2019;7EC00A9E-0025-4E61-9949-638268409D93
129073;;;;;;;;;;;"Umsetzungsbroschüre (d und f): 
Müller, Franziska und Andreas Balthasar, (2014a): 6 Argumente für ein Steuer- und Sozialtransfersystem, das die Vereinbarkeit von Familie und Beruf fördert / 30 Studien mit Fakten zu einem Steuer- und Sozialtransfersystem, das die Vereinbarkeit von Familie und Beruf fördert, Luzern: Interface Politikstudien Forschung Beratung; Luzern. 
Broschüre kann über den Nationalfonds bezogen werden (ab März 2014); ab April 2014 auch online über www.equality.ch verfügbar";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;21D04F93-0289-42F1-9285-C9B11F4382EB
129314;;;;;;;;;;;"Genderbewusstsein als Leitungsaufgabe: 
Interview zu einem Praxisratgeber
Vor einigen Jahren veröffentlichten die Wissenschaftlerinnen Dr. Wiebke Tennhoff, Prof. Dr. Julia Nentwich und Prof. Dr. Franziska Vogt einen Praxisratgeber für Leitungskräfte, der an Aktualität nichts verloren hat. von Wiebke Tennhoff";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://www.herder.de/kiga-heute/leitungsheft/archiv/2021-14-jg/3-2021/genderbewusstsein-als-leitungsaufgabe-interview-zu-einem-praxisratgeber/;;DFC1DEE8-C841-4A01-9009-507D43877E95
129314;;;;;;;;;;;Gender in der Kita - Praxisratgeber für Kitaleitungen. Eine PDF-Broschüre zum Download, frei erhältlich für alle interessierten Personen.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://www.gender-kita.ch;;1C29D10A-4EC8-4B10-9F65-A0F99A994647
129314;;;;;;;;;;;"Workshops für Kitaleitungen: „Gender in der Kita: die Organisationskultur gestalten“ (April-Juni 2014) mit anschliessendem Coaching. In Kooperation mit dem Marie Meierhofer Institut für das Kind
Durchführungstermine: 1. April 2014 Zürich, 3. April 2014 Basel, 30. April & 25. Juni 2014 St. Gallen, 17. Juni 2014 Bern.
Publikation Broschüre als pdf geplant für Juni 2014.";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://www.opsy.unisg.ch/de/research/gender+and+diversity/gender+in+der+kita;;0747A45F-155A-4182-ACB6-0B7937D435F0
177515;;;;;;;;;;;Translation in Russian and in the local language of printed informative material on fire blight such leaflets and brochures (in press);Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;B3BACA4A-3065-42FD-B9EF-C6E91DF393B0
134317;;;;;;;;;;;Software package to link our ASEBA framework to the worldwide ROS platform;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://wiki.ros.org/asebaros;;4509C05B-6C54-412F-8ACE-60D3C44BE813
128129;;"Ounzain, Samir; Pedrazzini, Thierry";;Research institution;;19855/WO;University of Lausanne Medical School;Pending;2013-12-19T00:00:00Z;;Diagnostic, prognostic and therapeutic uses of long noncoding RNAs for heart disease and regenerative medicine;Patent;;2013;44BDF77A-8EAC-4EB8-9D2D-9D7ACC2AA525
185532;;;Software;;;;;;;;hybrid action-executive control video game software;Licences (software and other);;2021;C8EBB91B-9D5E-42F7-A9C3-7790B2874101
156448;;;;;;;;;;;The application toolset covers introductions to MFA, QGIS, inclusion of Life Cycle Analysis (LCA) indicators and cost/benefit analysis. The application toolset was tested in a jointly conducted learning event (FHNW/NEERI) on AD in municipal solid waste management in Kathmandu, Nepal (KFPE funded, students from Nepal and India). Guidelines for sustainable implementation of AD systems in Indian communities (pdf-guide) and the toolset are made available only by end of April 2018;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://www.biowaste-to-energy.com;;F8682A0B-40DF-4A86-B7DA-7F1CF37F6007
200243;;;;;;;;;;;"The PedsQL™ (Mapi Research Trust) questionnaires have been translated into HIndi, and Tamil languages, cognitive interviews performed,validated and also shared with Mapi research trust as a part of this research project . These questionnaires (translated) can be used by other research groups interested in similar evaluation. ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://eprovide.mapi-trust.org/instruments/pediatric-quality-of-life-inventory/;;EA86FD26-C24F-4A53-B426-973E51AB9565
156800;;;;;;;;;;;"Prototype for a pneumatic radioactive target delivery system is under development with the company Comecer for the production of Scandium radionuclides. Such a device should be installed at the Indian partner and commercially exploited. Contract negociations are ongoing.
";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://www.comecer.com;;088A2460-6B4A-4881-8285-D27534C8AD40
156800;;;;;;;;;;;Chemical separation device for the production of 44Sc according to GMP;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;9E4A0AFD-8970-4526-B90D-AEEDEA9B5750
