Award_InvolvedPerson;Award_Title;Award_Year;AwardId;GrantNumber
Mugler, Johanna;Caroline von Humboldt Preis;2021;8B5CABAB-3762-4C63-AFE6-493A654B2F04;166087
Beck, Katharina;"Poster Preis, Annual Meeting of the Swiss Society of Toxicology ";2017;653674F5-7B6F-4BB3-AE1D-DC2AE035A20C;159454
"Tschudin-Sutter, Sarah; Widmer, Andreas";"Third best Poster Award Swiss Society for Hospital Hygiene 2015	";2015;4911D5ED-3C10-4AF4-A3B3-6CC8031FCA86;138510
"Golesorkhi, Bahman; Piguet, Claude";"Swiss Science Concentrates : Chimia 73, 90 (2019).
Room-Temperature Linear Light Upconversion in a Mononuclear Erbium Molecular Complex. ";2019;FBDD27C4-A7F5-46CF-8A9C-358A043298D3;178758
Moradpour, Darius;Prix Max Cloëtta;2010;3ACB4135-AF3A-4908-A2EF-417973C9A1AF;122447
Gouttenoire, Jérôme;Junior Hepatology Prize of the Swiss Society of Gastroenterology;2010;C2C47444-D349-4F9E-94DC-FE4EE6DFBE72;122447
Saladin, Bianca;"Early Career Poster Award for ""best poster"" at the International Biogeography Society Conference in Beijing, May 2016.";2016;25C7B741-06E4-4DD5-9911-72E9A0964938;149508
Carmeliet, Jan;"Keynote Presentation in Conference ""Int. Building Phys. Conf."" (IBPC18), September 2018";2018;B7A3E348-3190-4894-B80E-A21847A280CB;169323
"Cavalloro, Valeria; Giustetto, Virginia; Serra, Francesca";"Sélectionné pour le prix Compasso d'Oro de l'ADI Design Index.

https://www.adi-design.org/compasso-d-oro.html ";2021;8ABD1AF4-A686-4877-B357-EFA85EA7B7AF;169507
Sinnreich, Michael;Robert Bing Award;2013;83CFC038-52D0-4AF8-87E7-D0F43A0FD8CC;130286
Bersaglieri, Cristiana;Poster prize at the the Epigenesys Conference in London;2019;DB8F05E7-DF9F-4BDA-9851-9CC5B731AF89;173056
Santoro, Raffaella;"ERC Advanced grant ";2018;03B5CE78-1697-4951-A8BA-28FD39964DDF;173056
Udry, Stéphane;Reimar Lust Lecture;2014;AA199DD7-C078-46C6-B096-131B522E2A34;153235
Ficht, Xenia Maria;AIRC fellowship (Italian Cancer grant);2019;87271368-60CF-4154-A854-1FD05F4E0642;172994
Ursprung, Philip;Prix Meret Oppenheim, Bundesamt für Kultur, Schweiz;2017;BE6607CF-1D74-4F82-98A4-49AF67204814;169268
Bruch, Heike;"HSG Impact Award
";2022;9E0324F0-A9F8-4E96-A014-3A04A223C8C3;185170
Dehio, Christoph;Membership in the German National Academy of Sciences, Leopoldina;2010;037FC4C1-52C6-400F-ABE3-37289FB9D442;132979
Garbin, Rafaella;Ma thèse en 180 secondes, first place, University of Fribourg;2018;258C890A-EB43-4261-9253-D3BF74E6CBA5;153502
"Longnus, Sarah; Tevaearai, Hendrik";European Journal of Cardio-Thoracic Surgery Young Investigator’s Award;2014;FDF54BC9-04EF-4132-944E-F1D3BAE6588B;149730
"Farine, Emilie; Longnus, Sarah; Tevaearai, Hendrik";University of Bern, Department of Clinical Research Travel Grant;2015;C17ED7B2-4DB9-4A8A-BF7B-A7700E0913B8;149730
Stellacci, Francesco;Fellow of the Academia Europaea;2019;8E21BBD3-CF83-417C-98FB-7B0BA7D56A2D;159977
"Panse, Vikram; Peña Chou, Cohue";ETH Silver Medal for thesis work submitted by Dr. Cohue Pena;2018;93B73A96-DBB4-434B-A643-3C6E7978DE74;166571
Ariztegui, Daniel;Prof. emeritus Daniel Ariztegui, PI of this project, is the new recipient of the W.H. Bradley Medal, the highest award of the International Association of Limnogeology (IAL).;2022;B502CAF4-4448-4B73-A6EF-05D9718FFA77;188571
Aras, Ebru;"LIMNA Symposium prize awarded by students and post-docs ";2017;98143F77-EB60-4DF4-843A-8579E0207933;169966
Aras, Ebru;2018 Symposium on Metabolism, Geneva, Switzerland - the best poster prize;2018;642A687A-9075-44A8-B65F-DF52201E395A;169966
"Naumenko, Mariia; Oganesyan, Irina";SGMS travel award;2021;4398F010-987B-4B43-834A-4CFCD857BCF7;178765
Bentirou Mathlouthi, Rahma;Bourse FNS early post doc;2020;DE016757-B68B-41FD-A2F1-29290DB8F109;162494
Jeannerat, Eloi;Prix Walther Hug;2019;AE7B5D72-024F-4026-A962-B0F78507C571;162494
Schmutz, Michael;Travel Grant to the 6th World Congress of the Bachelier Society;2010;AE3A960E-1996-4A3B-A419-ADD838BB8622;126503
Huelsken, Joerg;"SwissBridge Prize for Cancer Stem Cell Research ";2015;142A5C63-D377-462C-87C3-E31601890D4D;146805
Seguí Femenias, Yurena;"ETH EC award 2018
On the 6th of December 2018, Dr. Yurena Femenias was awarded the “first prize”, the “audience prize” as well as the “pitch prize” for her presentation entitled “Durability Monitoring of Infrastructures” of the ETH Entrepreneur Club
";2018;3B096082-395B-4C61-B2F3-78AC5B52C5F9;140243
Porcu, Eleonora;Swiss Institute of Bioinformatics Early Career Bioinformatician Award;2019;0B561EE6-90FD-418C-9691-2E03078D90E7;169929
"Aeschbacher, Sayaka; Bloch, Konrad E.; Lichtblau, Mona; Meyer, Christoph";"Best oral presentation - Schweiz. Gesellschaft für Pneumologie Forschungspreis 2016. ""Dexamethasone reduces pulmonary artery pressure in lowlanders with COPD travelling to 3200 m. Randomized placebo-controlled trial""";2016;6A87CB8B-57CD-459A-A1FC-FA7E4ED792E6;143875
"Bloch, Konrad E.; Kohler, Malcolm; Meyer, Christoph; Murer, Christian; Segitz, Sebastian Daniel";Best Abstract - Schweiz. Gesellschaft für Pneumologie Forschungspreis 2014 “Effect of travelling to 2590m on 6-minute walk distance, pulmonary function and symptoms of acute mountain sickness in COPD patients”;2014;758A002E-9454-42D7-871D-89987317F888;143875
Ruf, Melanie;"German Society of Pathology, Poster Price ";2013;031C46A5-DD41-4703-B4B2-86D1024AD463;135792
Magnenat-Thalmann, Nadia;Humbold Research Award;2012;93A0995C-C29D-44D3-A7D9-4B33F0DC9B53;132584
Magnenat-Thalmann, Nadia;Canadian Man Machine Communication Distinguished Achievement Award;2012;5EDBCFE0-688F-4309-949B-59611A477D82;132584
Di Fulvio, Sabrina;Best Poster Award;2013;B01B84EF-8E0D-4E9B-AB6E-F6D45BA4154A;130286
"de Anna, Pietro; Hamada, Mayumi";EGU Poster award (hydrology section);2018;3B232A21-EA18-4E31-A6C2-5F2B817119D6;172587
Lu, Zhenpin;CHINESE GOVERNMENT AWARD FOR OUTSTANDING SELF-FINANCED STUDENTS ABROAD;2015;83A51BA2-E4F1-4E4A-930C-C25367395261;143840
Bevkal Subramanyaswamy, Shubha;Dr Lutz and Celia Zwillenberg Prize;2021;E7D8D626-3726-4085-859D-487488DB871B;184669
Schmitt, Karen;"Society for Research on Biological Rhythms Research Merit Award ";2012;88C03162-C033-4A6B-905D-BF419B0B1779;122572
Pagani, Lucia;Family Vontobel Foundation for the work at the Center of Gerontology of the University of Zurich;2011;0B15670A-6BA7-406F-8326-EF0BF796E65C;122572
"Auwerx, Johan; Gaul, Daniel; Matter, Christian Matthias R.; Weber, Julien";"Prize at cardiology update Symposium in Davos for
Sirt3 and thrombosis findings";2017;FAE696E6-054F-4190-B9CD-CD99C37E5E8F;165990
Ahlin, Joachim;"EPFL Teaching Prize
awarded to distinguished PhD students for 
their skills and commitment to teaching activities.  ";2015;5222F222-C227-488E-A06E-3855448EB4D5;155967
"Boesch, Chris; Bucher, Julie; Christ, Emanuel; Krüsi, Marion; Loher, Hannah";President's poster competition, ENDO 2016;2016;D2E94249-BEE2-4BCE-A0DC-6C6FCCB207B2;130331
Forni, Francesca;EGU 2016 GMPV best poster award;2016;CDFA94F6-2520-4110-AABF-DD559684DB58;165501
Hattori, Hiromu;CMSZH Travel Award 2018 (Graduate School of Chemical and Molecular Sciences Zurich, May 14, 2018, Switzerland);2018;5DFA6FE7-A56D-4E55-A3DF-16F1E645FA4D;163151
Baumhoer, Daniel;President's Medal der International Skeletal Society;2019;9F109EA2-C6CA-4AC7-88A9-833F98C79534;172675
Retel, Cas;Volz prize for the best publication resulting from a dissertation at the U Bern Institute of Ecology and Evolution;2020;2713AA43-5586-49B2-AD72-8918A1778A83;179637
Zaidi, Habib;2010 Kuwait Prize in Applied Sciences for Contributions to Biomedical Technology (Arab Nobel prize);2011;309BEC60-27C4-495C-A7B8-6FBB3ABEBE7E;125246
"Fuchs, Helge; Hager, Willi H.";Best Paper Presentation Award, 2011 IAHR World Congress, Brisbane;2011;7820C0C4-60AC-4E98-B5B5-34D6C7703B72;119717
Constable, Edwin Charles;Royal Society of Chemistry Sustainable Energy Award;2011;CA015D05-BBC0-430C-9A13-3AB73701BEB9;132498
Bächinger, Marc;Volker Henn Poster Award, SSN 2017;2017;E9AF5C5F-4CA2-46EF-9307-8DBA82A34805;149561
Corminboeuf, Clemence;Per-Olov Löwdin lecture 2022;2022;F61961CC-5745-4A0E-B617-3E31C59B0479;175496
Sawatlon, Boodsarin;Chemistry Travel Award SNAT/SCS;2019;110345F5-B74C-4948-9734-418C13C68039;175496
Juraskova, Veronika;Teaching award of the chemistry section;2021;D3E341C2-5083-4053-8C6D-EF97C0FDA0BF;175496
"Anisimova, Maria; Gatti, Lorenzo";Best Lightning Talk, SIB scientific days 2016, Swiss Institute of Bioinformatics, Biel-Bienne (CH);2016;5874A5EB-A660-432E-8F2A-D4976B0F8938;157064
"Šolomek, Tomáš";Chorafas-Preis für die beste Dissertation im akademischen Jahr 2013/14 der Naturwissenschaftlichen Fakultät der Universität Fribourg;2014;4D97CB6E-4A42-46FC-99BE-09C3B219CB4F;143410
Peña-Hernández, Rodrigo Alejandro;"Poster prize at the 1st Comprehensive Cancer Center Zürich Scientific Retreat ";2019;9AB1D8D8-28DC-4127-8CBF-FE7C45153CFF;173056
Bouaziz, Sofien;Fritz Kutter Award;2016;9017A84D-8BAB-4C8A-8313-3B81605A7A96;153567
Charbonnel, Corinne;Chevalier de l'Ordre National du Mérite (France);2011;53AF24AA-FF33-4F0E-BD6B-69658798DCD4;124629
James, Clara;"Price for Best research project. Fondation Dalle Molle ""Pour la qualité de la vie"".

https://dallemolle.ch/laureats-2017/
";2018;DDD6CE9F-4132-4EFA-BEAD-5235EE95FF59;170410
"Longnus, Sarah; Niederberger, Petra; Tevaearai, Hendrik";University of Bern, Department of Clinical Research Travel Grant;2016;BA68903E-9BF5-49DB-9D2E-556E0B4AA553;149730
Udhane, Sameer;Travel grant to attend the 38th Symposium on Hormones and Cell Regulation of the European Society of Endocrinology, 10-13 October 2013, Mont Ste Odile, France.;2013;91067095-A90E-4F6C-BF55-35B5EC170FE9;146127
Huser, Raphaël;EPFL Doctoral Prize;2014;0EF8E698-AB1E-4223-9158-AF00CC13E9D8;132307
Harris, Nicola;National Health and Medical Research Council (NHMRC) of Australia, Research Fellowship;2017;2E79CB30-520B-4366-AC70-89A3E6FC8CC4;156517
Zangeneh Nejad, Farzad;Third place at the student paper competition, Metamaterials conference, Rome, Italy, 2019.;2019;55A764DC-EB5E-48F1-9182-27CF6683BAE6;172487
Ghiasikhou, Sahar;SGMS travel award;2018;C8F04451-4CA5-4A3A-8ED9-27A40BB0132C;178765
Zenobi, Renato;"Brdička Lectureship
Heyrovsky Institute of Physical Chemistry, Prague";2019;2176934A-A60E-4977-9381-D83D8043FC60;178765
Rimoldi, Stefano;"Prix Pfizer de la recherche 2013
Système cardiovasculaire, urologie et néphrologie

Risque plus élevé de maladie cardiovasculaire chez les bébés-éprouvette ?";2013;3AD5E7C1-C61C-4E9D-BFF7-4B7C98F1873E;134946
Lugrin, Jérôme;Best free communication, Arbeitsgruppe Lipide und Atherosklerose (AGLA), Fribourg 2014: Necrotic cardiomyocytes release soluble pro-inflammatory molecule(s) inducing MyD88-dependent inflammatory responses in cardiac fibroblasts (http://www.gsla.ch/congres/laureats/agla-update-meeting-2014);2014;CA7E8172-1467-45A0-90B1-AC14ED9CCB9D;135394
Kellerhals, Ruth;Prize for the best talk (M. Jacquemet);2012;A640B7F6-4A6A-4289-A51D-D5024677CD76;131967
Chen, Peter;James Flack Norris Award for Physical Organic Chemistry;2020;9878A120-297B-487B-8973-F2D042B01092;175580
Ravichandran, Meenakshi;ETH Medaille für herausragende Dissertation;2019;8F0E9C04-DE9D-49E0-A51B-2AA1801F575D;156031
Chavez, Myra;Best short talk award. LS2 Autophagy Workshop 2022;2022;ED7D6CC2-FB94-4FFD-A777-E4068EB611C6;182575
Furman, Karol Piotr;"Travel Award - Swiss Academy of Sciences (SCNAT) and Swiss Chemical Society ";2013;BC099DC1-B859-40B4-ACA3-06ECB671B9AB;134775
Kersten, Markus;Berufung von Dr. Markus Kersten auf eine Juniorprofessur an die Universität Mainz;2023;660F9B72-B9FF-468C-9DEC-D0D5C6D477E1;205054
Durrer, Lukas;Georg A. Fischer-Preis 2011;2011;3524BB87-11C4-41F8-BA0F-B0F843EBB7D7;121831
Schulz, Yvan;Prix Nexans 2018 pour la Thèse d'Yvan Schulz;2018;C19B223F-5792-4B32-A414-FD30AE4129DD;149559
Zheng, Nan;Chinese government award for outstanding doctoral students abroad;2013;5D900315-05DB-455A-A098-7B173C7AF89E;132501
Crassee, Iris;Oerlikon Prize (awarded by Swiss Physical Society);2013;F873ED06-FC73-4201-831C-C14350789AC9;140710
Duminil, Hugo;Member of Academia Europaea;2019;969831CD-4B59-46E0-8B88-2C6CB8875F3F;178828
Rosà, Andrea;ACM Student Scholarship to attend the ACM Symposium on Cloud Computing 2014 (SoCC 2014);2014;45AEDD9A-4698-4F1D-B876-81A7E5D029AD;141002
Weber, Benedikt;Semesterpreis HS 2011, University of Zurich (Rector Prof. Fischer);2011;4AA58236-5CD4-4AF7-B32D-A74ADEB45551;122273
Dennis, Schoeneborn;"Credit Suisse Award 2013 for Best Teaching at the University of Zurich (annual award that was devoted especially to BA/MA supervision this year; further info: http://www.lehre.uzh.ch/lehrpreis_en.html) ";2013;9AFF31AA-D425-4206-9C90-7B19EC4D4ED9;129995
Wawrzyniak, Marcin;Abstract prize winner. Isolation and characterisation of human IL-22 producing T cells. EAACI-WAO World Allergy& Asthma congress, Milan, Italy, June 2013;2013;B483B015-5C95-4450-BF31-95EC304DE4E6;140772
Pujol Gimenez, Jonai;SURFE²R N1 Nanion Research Grants;2021;37C46DC1-E6F5-4E91-9868-1CF3EB8CB763;182272
Vorburger, Audrey;Phil. Nat Fakultätspreis, beste Doktorarbeit in Physik in 2013;2013;9EA58B32-D216-4D2A-92D8-1690C843D68E;147056
Neuland, Maike Brigitte;Greinacher price for best PhD experimental thesis;2016;F68E41C0-E12F-4252-AE4E-ADDF6696162C;147056
Gugler, Philippe;Hall of Fame, ISC, Har arfd Business School;2011;FFA57920-6418-4BBE-9FA7-AE057BECFBD2;126590
